  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 A AIRFOIL                             
  10.500   1.4167   0.02420   0.01727  -0.0770   0.0086   1.0000
  10.750   1.4272   0.02516   0.01832  -0.0748   0.0084   1.0000
  11.000   1.4366   0.02623   0.01946  -0.0726   0.0082   1.0000
  11.250   1.4442   0.02746   0.02079  -0.0704   0.0079   1.0000
  11.500   1.4495   0.02892   0.02234  -0.0680   0.0077   1.0000
  11.750   1.4526   0.03061   0.02414  -0.0657   0.0075   1.0000
  12.000   1.4563   0.03234   0.02597  -0.0637   0.0074   1.0000
  12.250   1.4620   0.03398   0.02772  -0.0620   0.0072   1.0000
  12.500   1.4679   0.03565   0.02950  -0.0605   0.0071   1.0000
  12.750   1.4724   0.03752   0.03149  -0.0591   0.0069   1.0000
  13.000   1.4758   0.03957   0.03366  -0.0578   0.0068   1.0000
  13.250   1.4786   0.04178   0.03599  -0.0567   0.0066   1.0000
  13.500   1.4812   0.04408   0.03840  -0.0558   0.0064   1.0000
  13.750   1.4811   0.04677   0.04124  -0.0551   0.0063   1.0000
  14.000   1.4800   0.04972   0.04432  -0.0546   0.0062   1.0000
  14.250   1.4788   0.05278   0.04750  -0.0544   0.0061   1.0000
  14.500   1.4761   0.05617   0.05102  -0.0544   0.0060   1.0000
  14.750   1.4728   0.05980   0.05479  -0.0548   0.0059   1.0000
  15.000   1.4684   0.06375   0.05886  -0.0554   0.0059   1.0000
  15.250   1.4637   0.06790   0.06315  -0.0563   0.0058   1.0000
  15.500   1.4579   0.07242   0.06780  -0.0576   0.0057   1.0000
  15.750   1.4506   0.07734   0.07286  -0.0592   0.0057   1.0000
  16.000   1.4427   0.08253   0.07818  -0.0610   0.0056   1.0000
  16.250   1.4335   0.08810   0.08390  -0.0633   0.0056   1.0000
  16.500   1.4239   0.09396   0.08990  -0.0658   0.0055   1.0000
  16.750   1.4131   0.10020   0.09628  -0.0686   0.0055   1.0000
  17.000   1.4018   0.10671   0.10293  -0.0718   0.0055   1.0000
  17.250   1.3902   0.11346   0.10982  -0.0752   0.0054   1.0000
  17.500   1.3779   0.12054   0.11703  -0.0789   0.0054   1.0000
  17.750   1.3655   0.12780   0.12443  -0.0829   0.0054   1.0000
  18.000   1.3533   0.13517   0.13195  -0.0871   0.0054   1.0000
  18.250   1.3408   0.14282   0.13973  -0.0916   0.0053   1.0000
  18.500   1.3286   0.15059   0.14764  -0.0963   0.0053   1.0000
  18.750   1.3164   0.15858   0.15576  -0.1012   0.0053   1.0000
  19.000   1.3041   0.16676   0.16407  -0.1064   0.0053   1.0000
  19.250   1.2914   0.17536   0.17279  -0.1120   0.0053   1.0000
