  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 81-K-144 W-F KLAPPE                          
   4.500   0.5502   0.01227   0.00484   0.0068   0.2073   0.2354
   4.750   0.5756   0.01230   0.00488   0.0078   0.2060   0.2360
   5.000   0.6010   0.01235   0.00493   0.0088   0.2049   0.2367
   5.250   0.6261   0.01241   0.00500   0.0099   0.2037   0.2372
   5.500   0.6510   0.01244   0.00504   0.0109   0.2033   0.2393
   5.750   0.6760   0.01244   0.00506   0.0120   0.2017   0.2423
   6.000   0.7008   0.01251   0.00515   0.0130   0.2003   0.2444
   6.250   0.7251   0.01264   0.00530   0.0141   0.1987   0.2462
   6.500   0.7489   0.01283   0.00550   0.0153   0.1967   0.2483
   6.750   0.7747   0.01288   0.00558   0.0162   0.1959   0.2503
   7.000   0.8004   0.01295   0.00568   0.0170   0.1955   0.2526
   7.250   0.8265   0.01299   0.00575   0.0178   0.1948   0.2537
   7.500   0.8522   0.01307   0.00586   0.0187   0.1940   0.2548
   7.750   0.8773   0.01315   0.00596   0.0196   0.1930   0.2559
   8.000   0.9037   0.01319   0.00603   0.0203   0.1920   0.2592
   8.250   0.9300   0.01324   0.00612   0.0209   0.1906   0.2630
   8.500   0.9557   0.01332   0.00624   0.0217   0.1893   0.2657
   8.750   0.9813   0.01341   0.00635   0.0225   0.1878   0.2682
   9.000   1.0069   0.01350   0.00645   0.0232   0.1855   0.2698
   9.250   1.0325   0.01366   0.00661   0.0240   0.1841   0.2713
   9.500   1.0575   0.01385   0.00681   0.0247   0.1820   0.2733
   9.750   1.0842   0.01399   0.00698   0.0252   0.1809   0.2743
  10.000   1.1114   0.01411   0.00713   0.0256   0.1795   0.2752
  10.250   1.1408   0.01423   0.00729   0.0255   0.1778   0.2793
  10.500   1.1699   0.01437   0.00748   0.0254   0.1755   0.2838
  10.750   1.1987   0.01454   0.00765   0.0253   0.1715   0.2880
  11.000   1.2262   0.01478   0.00790   0.0254   0.1677   0.2919
  11.250   1.2540   0.01498   0.00813   0.0255   0.1661   0.2944
  11.500   1.2837   0.01520   0.00839   0.0252   0.1633   0.3011
  11.750   1.3147   0.01550   0.00872   0.0244   0.1581   0.3100
  12.000   1.3428   0.01592   0.00916   0.0241   0.1523   0.3228
  12.250   1.3787   0.01619   0.00961   0.0221   0.1483   0.3925
  12.500   1.4117   0.01641   0.01006   0.0208   0.1461   0.4893
  12.750   1.4430   0.01674   0.01075   0.0194   0.1409   0.6507
  13.000   1.5380   0.01714   0.01183   0.0056   0.1322   1.0000
  13.250   1.5451   0.01794   0.01261   0.0088   0.1248   1.0000
  13.750   1.5642   0.01940   0.01405   0.0140   0.1167   1.0000
  14.000   1.5758   0.01999   0.01468   0.0163   0.1154   1.0000
  14.250   1.5752   0.02119   0.01588   0.0196   0.1104   1.0000
  14.500   1.5926   0.02154   0.01628   0.0210   0.1121   1.0000
  14.750   1.5929   0.02279   0.01757   0.0237   0.1094   1.0000
  15.000   1.6024   0.02362   0.01846   0.0253   0.1099   1.0000
  15.250   1.5938   0.02563   0.02054   0.0275   0.1069   1.0000
  15.500   1.5966   0.02716   0.02216   0.0285   0.1074   1.0000
  15.750   1.5823   0.03034   0.02546   0.0287   0.1061   1.0000
