  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43015-2.48 AIRFOIL               
   6.000   0.8960   0.01054   0.00464  -0.0042   0.1738   0.9742
   6.250   0.9268   0.01071   0.00481  -0.0049   0.1720   0.9764
   6.500   0.9555   0.01088   0.00499  -0.0052   0.1698   0.9793
   6.750   0.9808   0.01107   0.00516  -0.0048   0.1671   0.9826
   7.000   1.0127   0.01129   0.00536  -0.0059   0.1638   0.9838
   7.250   1.0437   0.01153   0.00558  -0.0069   0.1605   0.9852
   7.500   1.0745   0.01172   0.00578  -0.0077   0.1585   0.9867
   7.750   1.1043   0.01193   0.00599  -0.0084   0.1558   0.9885
   8.000   1.1328   0.01217   0.00622  -0.0088   0.1527   0.9906
   8.250   1.1597   0.01244   0.00647  -0.0089   0.1493   0.9927
   8.500   1.1886   0.01269   0.00672  -0.0095   0.1468   0.9943
   8.750   1.2188   0.01292   0.00696  -0.0103   0.1440   0.9958
   9.000   1.2486   0.01318   0.00722  -0.0112   0.1411   0.9973
   9.250   1.2784   0.01350   0.00751  -0.0121   0.1374   0.9988
   9.500   1.3094   0.01379   0.00781  -0.0132   0.1350   0.9999
   9.750   1.3229   0.01400   0.00804  -0.0106   0.1332   1.0000
  10.000   1.3303   0.01418   0.00824  -0.0068   0.1315   1.0000
  10.250   1.3382   0.01440   0.00847  -0.0032   0.1293   1.0000
  10.500   1.3474   0.01467   0.00875   0.0001   0.1271   1.0000
  10.750   1.3576   0.01499   0.00907   0.0031   0.1245   1.0000
  11.000   1.3707   0.01526   0.00937   0.0055   0.1233   1.0000
  11.250   1.3841   0.01557   0.00971   0.0077   0.1215   1.0000
  11.500   1.3976   0.01590   0.01007   0.0099   0.1204   1.0000
  11.750   1.4103   0.01632   0.01049   0.0121   0.1178   1.0000
  12.000   1.4227   0.01679   0.01097   0.0142   0.1155   1.0000
  12.250   1.4357   0.01727   0.01147   0.0161   0.1138   1.0000
  12.500   1.4509   0.01768   0.01192   0.0176   0.1126   1.0000
  12.750   1.4654   0.01815   0.01243   0.0192   0.1116   1.0000
  13.000   1.4795   0.01866   0.01298   0.0207   0.1100   1.0000
  13.250   1.4926   0.01925   0.01360   0.0222   0.1085   1.0000
  13.500   1.5055   0.01989   0.01427   0.0236   0.1071   1.0000
  13.750   1.5168   0.02064   0.01505   0.0251   0.1052   1.0000
  14.000   1.5280   0.02145   0.01589   0.0265   0.1040   1.0000
  14.250   1.5412   0.02216   0.01666   0.0276   0.1030   1.0000
  14.500   1.5543   0.02292   0.01747   0.0286   0.1020   1.0000
  14.750   1.5663   0.02377   0.01838   0.0296   0.1009   1.0000
  15.000   1.5773   0.02473   0.01939   0.0306   0.0994   1.0000
  15.250   1.5870   0.02582   0.02053   0.0315   0.0979   1.0000
  15.500   1.5954   0.02705   0.02180   0.0323   0.0965   1.0000
  15.750   1.6023   0.02846   0.02325   0.0331   0.0949   1.0000
  16.000   1.6103   0.02983   0.02469   0.0337   0.0937   1.0000
  16.250   1.6191   0.03118   0.02611   0.0341   0.0925   1.0000
  16.500   1.6259   0.03275   0.02775   0.0345   0.0908   1.0000
  16.750   1.6308   0.03456   0.02961   0.0347   0.0888   1.0000
  17.000   1.6326   0.03671   0.03181   0.0349   0.0869   1.0000
  17.250   1.6332   0.03906   0.03423   0.0349   0.0847   1.0000
  17.500   1.6347   0.04141   0.03665   0.0347   0.0828   1.0000
  17.750   1.6328   0.04419   0.03949   0.0344   0.0803   1.0000
  18.000   1.6239   0.04780   0.04315   0.0337   0.0772   1.0000
  18.250   1.6166   0.05137   0.04680   0.0329   0.0748   1.0000
  18.500   1.6035   0.05572   0.05122   0.0318   0.0720   1.0000
  18.750   1.5866   0.06066   0.05625   0.0304   0.0700   1.0000
  19.000   1.5699   0.06569   0.06137   0.0287   0.0680   1.0000
  19.250   1.5483   0.07149   0.06727   0.0268   0.0662   1.0000
