  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43015-2.48 AIRFOIL               
   9.500   1.3108   0.01355   0.00785  -0.0139   0.1527   1.0000
   9.750   1.3236   0.01379   0.00809  -0.0112   0.1503   1.0000
  10.000   1.3338   0.01407   0.00836  -0.0080   0.1476   1.0000
  10.250   1.3390   0.01431   0.00862  -0.0038   0.1451   1.0000
  10.500   1.3493   0.01446   0.00880  -0.0006   0.1434   1.0000
  10.750   1.3599   0.01467   0.00903   0.0024   0.1413   1.0000
  11.000   1.3708   0.01493   0.00931   0.0053   0.1393   1.0000
  11.250   1.3814   0.01527   0.00965   0.0081   0.1365   1.0000
  11.500   1.3907   0.01571   0.01009   0.0111   0.1341   1.0000
  11.750   1.4050   0.01601   0.01044   0.0131   0.1326   1.0000
  12.000   1.4203   0.01632   0.01078   0.0149   0.1309   1.0000
  12.250   1.4343   0.01670   0.01120   0.0168   0.1293   1.0000
  12.500   1.4479   0.01714   0.01165   0.0187   0.1272   1.0000
  12.750   1.4601   0.01768   0.01220   0.0206   0.1251   1.0000
  13.000   1.4696   0.01837   0.01290   0.0227   0.1228   1.0000
  13.250   1.4839   0.01888   0.01346   0.0242   0.1217   1.0000
  13.500   1.4988   0.01938   0.01402   0.0255   0.1207   1.0000
  13.750   1.5135   0.01993   0.01462   0.0268   0.1191   1.0000
  14.000   1.5266   0.02057   0.01531   0.0281   0.1176   1.0000
  14.250   1.5384   0.02133   0.01610   0.0294   0.1161   1.0000
  14.500   1.5488   0.02221   0.01701   0.0307   0.1146   1.0000
  14.750   1.5565   0.02329   0.01813   0.0321   0.1128   1.0000
  15.000   1.5655   0.02437   0.01926   0.0333   0.1113   1.0000
  15.250   1.5788   0.02519   0.02015   0.0340   0.1103   1.0000
  15.500   1.5907   0.02614   0.02117   0.0348   0.1091   1.0000
  15.750   1.6011   0.02724   0.02233   0.0355   0.1076   1.0000
  16.000   1.6097   0.02852   0.02365   0.0361   0.1060   1.0000
  16.250   1.6154   0.03008   0.02526   0.0367   0.1042   1.0000
  16.500   1.6163   0.03211   0.02733   0.0373   0.1021   1.0000
  16.750   1.6242   0.03362   0.02892   0.0376   0.1008   1.0000
  17.000   1.6335   0.03507   0.03045   0.0377   0.0993   1.0000
  17.250   1.6393   0.03686   0.03231   0.0378   0.0974   1.0000
  17.500   1.6416   0.03905   0.03455   0.0377   0.0955   1.0000
  17.750   1.6390   0.04182   0.03738   0.0375   0.0935   1.0000
  18.000   1.6373   0.04461   0.04024   0.0370   0.0915   1.0000
  18.250   1.6398   0.04698   0.04269   0.0366   0.0892   1.0000
  18.500   1.6355   0.05016   0.04595   0.0359   0.0871   1.0000
  18.750   1.6246   0.05421   0.05006   0.0348   0.0845   1.0000
  19.000   1.6138   0.05837   0.05430   0.0336   0.0820   1.0000
  19.250   1.6025   0.06264   0.05866   0.0322   0.0798   1.0000
