  
       XFOIL         Version 6.96
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
   4.000   0.8163   0.01506   0.00712  -0.1097   0.0415   0.6904
   4.250   0.8437   0.01530   0.00736  -0.1095   0.0395   0.6909
   4.500   0.8708   0.01559   0.00763  -0.1093   0.0377   0.6914
   4.750   0.8978   0.01588   0.00792  -0.1090   0.0361   0.6919
   5.000   0.9249   0.01614   0.00820  -0.1087   0.0345   0.6924
   5.250   0.9516   0.01643   0.00849  -0.1084   0.0331   0.6931
   5.500   0.9779   0.01681   0.00885  -0.1080   0.0318   0.6938
   5.750   1.0045   0.01712   0.00920  -0.1077   0.0308   0.6944
   6.000   1.0310   0.01745   0.00955  -0.1073   0.0298   0.6950
   6.250   1.0573   0.01779   0.00991  -0.1070   0.0288   0.6955
   6.500   1.0833   0.01818   0.01031  -0.1065   0.0280   0.6960
   6.750   1.1086   0.01866   0.01079  -0.1060   0.0272   0.6965
   7.000   1.1342   0.01907   0.01125  -0.1055   0.0267   0.6970
   7.250   1.1595   0.01950   0.01173  -0.1049   0.0260   0.6975
   7.500   1.1845   0.01996   0.01223  -0.1044   0.0254   0.6979
   7.750   1.2093   0.02043   0.01273  -0.1037   0.0249   0.6984
   8.000   1.2337   0.02091   0.01325  -0.1031   0.0244   0.6988
   8.250   1.2577   0.02144   0.01381  -0.1023   0.0240   0.6993
   8.500   1.2806   0.02209   0.01448  -0.1014   0.0235   0.6998
   8.750   1.3036   0.02270   0.01516  -0.1005   0.0231   0.7004
   9.000   1.3267   0.02328   0.01582  -0.0996   0.0227   0.7009
   9.250   1.3491   0.02391   0.01653  -0.0986   0.0223   0.7012
   9.500   1.3709   0.02458   0.01727  -0.0975   0.0220   0.7015
   9.750   1.3922   0.02528   0.01806  -0.0964   0.0217   0.7018
  10.000   1.4130   0.02597   0.01883  -0.0952   0.0214   0.7022
  10.250   1.4332   0.02669   0.01964  -0.0939   0.0211   0.7025
  10.500   1.4526   0.02744   0.02046  -0.0925   0.0209   0.7029
  10.750   1.4713   0.02822   0.02133  -0.0910   0.0207   0.7032
  11.000   1.4888   0.02905   0.02225  -0.0893   0.0205   0.7036
  11.250   1.5052   0.02994   0.02322  -0.0875   0.0203   0.7039
  11.500   1.5198   0.03094   0.02430  -0.0855   0.0201   0.7043
  11.750   1.5320   0.03210   0.02556  -0.0831   0.0199   0.7046
  12.000   1.5419   0.03333   0.02691  -0.0804   0.0197   0.7050
  12.250   1.5485   0.03442   0.02814  -0.0771   0.0196   0.7053
  12.500   1.5553   0.03565   0.02952  -0.0740   0.0195   0.7057
  12.750   1.5608   0.03699   0.03102  -0.0709   0.0194   0.7062
  13.000   1.5646   0.03848   0.03268  -0.0678   0.0193   0.7067
  13.250   1.5664   0.04014   0.03450  -0.0646   0.0192   0.7072
  13.500   1.5662   0.04199   0.03652  -0.0614   0.0191   0.7076
  13.750   1.5643   0.04404   0.03874  -0.0584   0.0190   0.7079
  14.000   1.5601   0.04637   0.04125  -0.0557   0.0189   0.7082
  14.250   1.5538   0.04903   0.04409  -0.0532   0.0188   0.7085
  14.500   1.5445   0.05217   0.04741  -0.0512   0.0188   0.7088
  14.750   1.5324   0.05591   0.05135  -0.0500   0.0187   0.7091
  15.000   1.5173   0.06049   0.05613  -0.0500   0.0187   0.7093
  15.250   1.4971   0.06656   0.06242  -0.0519   0.0186   0.7095
  15.500   1.4717   0.07489   0.07100  -0.0567   0.0186   0.7096
  15.750   1.4320   0.08815   0.08457  -0.0665   0.0187   0.7097
  16.000   1.3455   0.11295   0.10977  -0.0837   0.0189   0.7093
