  
       XFOIL         Version 6.96
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
   1.500   0.5795   0.01050   0.00367  -0.1214   0.0721   0.6705
   1.750   0.6073   0.01067   0.00379  -0.1212   0.0632   0.6712
   2.000   0.6351   0.01086   0.00391  -0.1211   0.0560   0.6717
   2.250   0.6629   0.01103   0.00405  -0.1209   0.0505   0.6722
   2.500   0.6909   0.01119   0.00418  -0.1208   0.0467   0.6726
   2.750   0.7187   0.01138   0.00433  -0.1206   0.0433   0.6730
   3.000   0.7466   0.01154   0.00448  -0.1204   0.0412   0.6734
   3.250   0.7743   0.01172   0.00464  -0.1202   0.0389   0.6737
   3.500   0.8019   0.01193   0.00482  -0.1200   0.0367   0.6741
   3.750   0.8295   0.01210   0.00499  -0.1198   0.0351   0.6746
   4.000   0.8569   0.01231   0.00518  -0.1195   0.0333   0.6751
   4.250   0.8842   0.01254   0.00539  -0.1192   0.0317   0.6756
   4.500   0.9116   0.01273   0.00559  -0.1190   0.0306   0.6760
   4.750   0.9390   0.01294   0.00579  -0.1187   0.0294   0.6764
   5.000   0.9660   0.01318   0.00602  -0.1184   0.0281   0.6768
   5.250   0.9930   0.01344   0.00627  -0.1181   0.0271   0.6772
   5.500   1.0200   0.01366   0.00651  -0.1177   0.0263   0.6776
   5.750   1.0468   0.01391   0.00676  -0.1174   0.0254   0.6779
   6.000   1.0735   0.01418   0.00702  -0.1170   0.0246   0.6783
   6.250   1.0998   0.01448   0.00732  -0.1166   0.0237   0.6787
   6.500   1.1261   0.01478   0.00763  -0.1161   0.0231   0.6791
   6.750   1.1524   0.01506   0.00793  -0.1157   0.0226   0.6794
   7.000   1.1785   0.01536   0.00825  -0.1152   0.0221   0.6798
   7.250   1.2044   0.01568   0.00859  -0.1147   0.0216   0.6802
   7.500   1.2301   0.01600   0.00892  -0.1141   0.0211   0.6806
   7.750   1.2555   0.01635   0.00928  -0.1135   0.0206   0.6811
   8.000   1.2806   0.01675   0.00969  -0.1129   0.0201   0.6816
   8.250   1.3053   0.01717   0.01014  -0.1122   0.0197   0.6819
   8.500   1.3302   0.01754   0.01055  -0.1115   0.0195   0.6822
   8.750   1.3549   0.01793   0.01098  -0.1108   0.0192   0.6825
   9.000   1.3792   0.01834   0.01142  -0.1100   0.0190   0.6828
   9.250   1.4033   0.01876   0.01189  -0.1092   0.0187   0.6831
   9.500   1.4271   0.01920   0.01237  -0.1083   0.0184   0.6834
   9.750   1.4505   0.01965   0.01286  -0.1074   0.0182   0.6837
  10.000   1.4736   0.02012   0.01337  -0.1065   0.0180   0.6840
  10.250   1.4963   0.02062   0.01391  -0.1055   0.0178   0.6842
  10.500   1.5186   0.02113   0.01447  -0.1044   0.0176   0.6845
  10.750   1.5404   0.02168   0.01506  -0.1033   0.0174   0.6847
  11.000   1.5615   0.02227   0.01570  -0.1020   0.0172   0.6849
  11.250   1.5817   0.02292   0.01640  -0.1006   0.0170   0.6852
  11.500   1.6007   0.02365   0.01720  -0.0991   0.0168   0.6854
  11.750   1.6184   0.02448   0.01809  -0.0973   0.0166   0.6856
  12.000   1.6372   0.02513   0.01882  -0.0957   0.0165   0.6859
  12.250   1.6552   0.02582   0.01959  -0.0941   0.0164   0.6865
  12.500   1.6724   0.02652   0.02039  -0.0923   0.0164   0.6870
  12.750   1.6885   0.02727   0.02122  -0.0903   0.0163   0.6874
  13.000   1.7032   0.02807   0.02211  -0.0881   0.0162   0.6877
  13.250   1.7156   0.02890   0.02303  -0.0856   0.0161   0.6881
  13.500   1.7232   0.02974   0.02397  -0.0822   0.0160   0.6884
  13.750   1.7317   0.03067   0.02500  -0.0792   0.0160   0.6887
  14.000   1.7395   0.03169   0.02611  -0.0761   0.0159   0.6890
  14.250   1.7464   0.03277   0.02730  -0.0731   0.0158   0.6894
  14.500   1.7519   0.03397   0.02860  -0.0700   0.0157   0.6897
  14.750   1.7563   0.03528   0.03002  -0.0669   0.0157   0.6900
  15.000   1.7600   0.03667   0.03151  -0.0640   0.0156   0.6903
  15.250   1.7627   0.03818   0.03313  -0.0611   0.0155   0.6905
  15.500   1.7636   0.03987   0.03494  -0.0583   0.0154   0.6908
  15.750   1.7637   0.04173   0.03691  -0.0557   0.0153   0.6911
  16.000   1.7612   0.04389   0.03919  -0.0533   0.0153   0.6914
  16.250   1.7576   0.04631   0.04173  -0.0512   0.0152   0.6917
  16.500   1.7508   0.04923   0.04479  -0.0495   0.0151   0.6919
  16.750   1.7413   0.05270   0.04840  -0.0485   0.0151   0.6921
  17.000   1.7279   0.05710   0.05296  -0.0485   0.0151   0.6924
  17.250   1.7111   0.06266   0.05868  -0.0500   0.0150   0.6926
  17.500   1.6866   0.07054   0.06676  -0.0541   0.0150   0.6927
