  
       XFOIL         Version 6.96
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
   4.750   0.8450   0.01805   0.01067  -0.0943   0.0469   0.7322
   5.000   0.8746   0.01836   0.01095  -0.0948   0.0447   0.7335
   5.250   0.9024   0.01902   0.01157  -0.0950   0.0425   0.7346
   5.500   0.9319   0.01932   0.01190  -0.0954   0.0410   0.7352
   5.750   0.9604   0.01972   0.01231  -0.0957   0.0396   0.7358
   6.000   0.9878   0.02012   0.01269  -0.0957   0.0383   0.7363
   6.250   1.0120   0.02106   0.01362  -0.0951   0.0369   0.7367
   6.500   1.0382   0.02141   0.01406  -0.0947   0.0362   0.7374
   6.750   1.0636   0.02193   0.01464  -0.0942   0.0354   0.7381
   7.000   1.0890   0.02248   0.01526  -0.0936   0.0345   0.7386
   7.250   1.1145   0.02300   0.01580  -0.0932   0.0336   0.7390
   7.500   1.1395   0.02357   0.01638  -0.0928   0.0328   0.7394
   7.750   1.1631   0.02495   0.01778  -0.0923   0.0320   0.7398
   8.000   1.1878   0.02566   0.01861  -0.0917   0.0315   0.7402
   8.250   1.2120   0.02645   0.01953  -0.0910   0.0310   0.7406
   8.500   1.2356   0.02738   0.02060  -0.0903   0.0305   0.7411
   8.750   1.2585   0.02838   0.02173  -0.0895   0.0300   0.7415
   9.000   1.2807   0.02939   0.02286  -0.0886   0.0295   0.7420
   9.250   1.3019   0.03043   0.02401  -0.0876   0.0291   0.7427
   9.500   1.3224   0.03152   0.02522  -0.0864   0.0287   0.7434
   9.750   1.3423   0.03264   0.02644  -0.0853   0.0284   0.7438
  10.000   1.3612   0.03393   0.02784  -0.0841   0.0281   0.7442
  10.250   1.3781   0.03558   0.02960  -0.0827   0.0278   0.7446
  10.500   1.3894   0.03830   0.03253  -0.0807   0.0275   0.7449
  10.750   1.3961   0.04069   0.03523  -0.0779   0.0273   0.7453
  11.000   1.4020   0.04256   0.03740  -0.0749   0.0271   0.7456
  11.250   1.4023   0.04498   0.04014  -0.0714   0.0268   0.7460
  11.500   1.3948   0.04795   0.04343  -0.0672   0.0267   0.7463
  11.750   1.3762   0.05089   0.04666  -0.0615   0.0266   0.7465
  12.000   1.3544   0.05449   0.05054  -0.0566   0.0266   0.7467
  12.250   1.3264   0.05885   0.05519  -0.0524   0.0266   0.7469
  12.500   1.2949   0.06407   0.06069  -0.0499   0.0266   0.7471
  12.750   1.2588   0.07077   0.06765  -0.0500   0.0267   0.7473
  13.000   1.2199   0.07982   0.07695  -0.0546   0.0269   0.7475
  13.250   1.1694   0.09579   0.09317  -0.0681   0.0271   0.7475
  13.500   0.9198   0.18044   0.17810  -0.1210   0.0332   0.7452
  13.750   0.9279   0.18345   0.18111  -0.1224   0.0328   0.7454
